BENGALURU — KEY POINT-TO-POINT DISTANCES,,,,,,
Haversine km (straight-line) + verified road distances (where available from public sources),,,,,,
Origin,Destination,Haversine km,Road (approx),Notes,,
Forum Mall Koramangala,Whitefield Metro (Kadugodi),16.44,~23.8 km (est.),Purple Line end,,
Forum Mall Koramangala,ITPB Tech Park,15.46,~22.4 km (est.),,,
Forum Mall Koramangala,Manyata Tech Park,13.07,~19.0 km (est.),,,
Forum Mall Koramangala,Bagmane Tech Park,7.88,~11.4 km (est.),,,
Forum Mall Koramangala,Embassy TechVillage,8.82,~12.8 km (est.),,,
Forum Mall Koramangala,Electronic City,12.37,~17.9 km (est.),,,
Forum Mall Koramangala,KIAL Airport,31.21,~45.3 km (est.),,,
Forum Mall Koramangala,Majestic Bus Stand,6.33,~9.2 km (est.),,,
Forum Mall Koramangala,KSR Railway Station,6.57,~9.5 km (est.),,,
FROM: Koramangala 1st Block,,,,,,
Koramangala 1st Block,Jayanagar 4th Block Metro,3.25,~4.7 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Koramangala 1st Block,Jayadeva Hospital Metro,2.12,~3.1 km (est.),~13m walk from Christ Univ [verified],,
Koramangala 1st Block,BTM Layout Metro,2.60,~3.8 km (est.),1.95km from Christ Univ [verified],,
Koramangala 1st Block,Central Silk Board Metro,2.95,~4.3 km (est.),,,
Koramangala 1st Block,Jayanagar Metro,3.25,~4.7 km (est.),Green Line,,
Koramangala 1st Block,MG Road Metro,3.85,~5.6 km (est.),Purple Line,,
Koramangala 1st Block,Indiranagar Metro,5.39,~7.8 km (est.),Purple Line,,
Koramangala 1st Block,Whitefield Metro (Kadugodi),16.15,~23.4 km (est.),Purple Line end,,
Koramangala 1st Block,ITPB Tech Park,15.26,~22.1 km (est.),,,
Koramangala 1st Block,Manyata Tech Park,12.43,~18.0 km (est.),,,
Koramangala 1st Block,Bagmane Tech Park,7.40,~10.7 km (est.),,,
Koramangala 1st Block,Embassy TechVillage,8.92,~12.9 km (est.),,,
Koramangala 1st Block,Electronic City,12.86,~18.6 km (est.),,,
Koramangala 1st Block,KIAL Airport,30.60,~44.4 km (est.),,,
Koramangala 1st Block,Majestic Bus Stand,5.91,~8.6 km (est.),,,
Koramangala 1st Block,KSR Railway Station,6.17,~8.9 km (est.),,,
FROM: Koramangala 4th Block,,,,,,
Koramangala 4th Block,Jayanagar 4th Block Metro,4.03,~5.8 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Koramangala 4th Block,Jayadeva Hospital Metro,2.24,~3.2 km (est.),~13m walk from Christ Univ [verified],,
Koramangala 4th Block,BTM Layout Metro,2.10,~3.0 km (est.),1.95km from Christ Univ [verified],,
Koramangala 4th Block,Central Silk Board Metro,1.87,~2.7 km (est.),,,
Koramangala 4th Block,Jayanagar Metro,4.03,~5.8 km (est.),Green Line,,
Koramangala 4th Block,MG Road Metro,4.84,~7.0 km (est.),Purple Line,,
Koramangala 4th Block,Indiranagar Metro,5.58,~8.1 km (est.),Purple Line,,
Koramangala 4th Block,Whitefield Metro (Kadugodi),15.56,~22.6 km (est.),Purple Line end,,
Koramangala 4th Block,ITPB Tech Park,14.50,~21.0 km (est.),,,
Koramangala 4th Block,Manyata Tech Park,13.18,~19.1 km (est.),,,
Koramangala 4th Block,Bagmane Tech Park,7.32,~10.6 km (est.),,,
Koramangala 4th Block,Embassy TechVillage,7.77,~11.3 km (est.),,,
Koramangala 4th Block,Electronic City,11.64,~16.9 km (est.),,,
Koramangala 4th Block,KIAL Airport,31.04,~45.0 km (est.),,,
Koramangala 4th Block,Majestic Bus Stand,7.17,~10.4 km (est.),,,
Koramangala 4th Block,KSR Railway Station,7.44,~10.8 km (est.),,,
FROM: Koramangala 8th Block,,,,,,
Koramangala 8th Block,Jayanagar 4th Block Metro,5.10,~7.4 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Koramangala 8th Block,Jayadeva Hospital Metro,3.09,~4.5 km (est.),~13m walk from Christ Univ [verified],,
Koramangala 8th Block,BTM Layout Metro,2.50,~3.6 km (est.),1.95km from Christ Univ [verified],,
Koramangala 8th Block,Central Silk Board Metro,1.48,~2.1 km (est.),,,
Koramangala 8th Block,Jayanagar Metro,5.10,~7.4 km (est.),Green Line,,
Koramangala 8th Block,MG Road Metro,5.75,~8.3 km (est.),Purple Line,,
Koramangala 8th Block,Indiranagar Metro,5.78,~8.4 km (est.),Purple Line,,
Koramangala 8th Block,Whitefield Metro (Kadugodi),14.84,~21.5 km (est.),Purple Line end,,
Koramangala 8th Block,ITPB Tech Park,13.65,~19.8 km (est.),,,
Koramangala 8th Block,Manyata Tech Park,13.76,~20.0 km (est.),,,
Koramangala 8th Block,Bagmane Tech Park,7.19,~10.4 km (est.),,,
Koramangala 8th Block,Embassy TechVillage,6.60,~9.6 km (est.),,,
Koramangala 8th Block,Electronic City,10.61,~15.4 km (est.),,,
Koramangala 8th Block,KIAL Airport,31.27,~45.3 km (est.),,,
Koramangala 8th Block,Majestic Bus Stand,8.35,~12.1 km (est.),,,
Koramangala 8th Block,KSR Railway Station,8.63,~12.5 km (est.),,,
FROM: HSR Layout Sector 7,,,,,,
HSR Layout Sector 7,Jayanagar 4th Block Metro,5.63,~8.2 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
HSR Layout Sector 7,Jayadeva Hospital Metro,3.48,~5.0 km (est.),~13m walk from Christ Univ [verified],,
HSR Layout Sector 7,BTM Layout Metro,2.40,~3.5 km (est.),1.95km from Christ Univ [verified],,
HSR Layout Sector 7,Central Silk Board Metro,1.12,~1.6 km (est.),,,
HSR Layout Sector 7,Jayanagar Metro,5.63,~8.2 km (est.),Green Line,,
HSR Layout Sector 7,MG Road Metro,7.64,~11.1 km (est.),Purple Line,,
HSR Layout Sector 7,Indiranagar Metro,7.73,~11.2 km (est.),Purple Line,,
HSR Layout Sector 7,Whitefield Metro (Kadugodi),15.80,~22.9 km (est.),Purple Line end,,
HSR Layout Sector 7,ITPB Tech Park,14.37,~20.8 km (est.),,,
HSR Layout Sector 7,Manyata Tech Park,15.77,~22.9 km (est.),,,
HSR Layout Sector 7,Bagmane Tech Park,8.97,~13.0 km (est.),,,
HSR Layout Sector 7,Embassy TechVillage,6.45,~9.4 km (est.),,,
HSR Layout Sector 7,Electronic City,8.86,~12.8 km (est.),,,
HSR Layout Sector 7,KIAL Airport,33.18,~48.1 km (est.),,,
HSR Layout Sector 7,Majestic Bus Stand,9.85,~14.3 km (est.),,,
HSR Layout Sector 7,KSR Railway Station,10.08,~14.6 km (est.),,,
FROM: HSR Layout Sector 1,,,,,,
HSR Layout Sector 1,Jayanagar 4th Block Metro,5.86,~8.5 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
HSR Layout Sector 1,Jayadeva Hospital Metro,3.75,~5.4 km (est.),~13m walk from Christ Univ [verified],,
HSR Layout Sector 1,BTM Layout Metro,2.93,~4.2 km (est.),1.95km from Christ Univ [verified],,
HSR Layout Sector 1,Central Silk Board Metro,1.58,~2.3 km (est.),,,
HSR Layout Sector 1,Jayanagar Metro,5.86,~8.5 km (est.),Green Line,,
HSR Layout Sector 1,MG Road Metro,6.67,~9.7 km (est.),Purple Line,,
HSR Layout Sector 1,Indiranagar Metro,6.34,~9.2 km (est.),Purple Line,,
HSR Layout Sector 1,Whitefield Metro (Kadugodi),14.57,~21.1 km (est.),Purple Line end,,
HSR Layout Sector 1,ITPB Tech Park,13.25,~19.2 km (est.),,,
HSR Layout Sector 1,Manyata Tech Park,14.49,~21.0 km (est.),,,
HSR Layout Sector 1,Bagmane Tech Park,7.51,~10.9 km (est.),,,
HSR Layout Sector 1,Embassy TechVillage,5.82,~8.4 km (est.),,,
HSR Layout Sector 1,Electronic City,9.68,~14.0 km (est.),,,
HSR Layout Sector 1,KIAL Airport,31.74,~46.0 km (est.),,,
HSR Layout Sector 1,Majestic Bus Stand,9.32,~13.5 km (est.),,,
HSR Layout Sector 1,KSR Railway Station,9.60,~13.9 km (est.),,,
FROM: BTM Layout 2nd Stage,,,,,,
BTM Layout 2nd Stage,Jayanagar 4th Block Metro,3.24,~4.7 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
BTM Layout 2nd Stage,Jayadeva Hospital Metro,1.14,~1.7 km (est.),~13m walk from Christ Univ [verified],,
BTM Layout 2nd Stage,BTM Layout Metro,0.00,~0.0 km (est.),1.95km from Christ Univ [verified],,
BTM Layout 2nd Stage,Central Silk Board Metro,1.42,~2.1 km (est.),,,
BTM Layout 2nd Stage,Jayanagar Metro,3.24,~4.7 km (est.),Green Line,,
BTM Layout 2nd Stage,MG Road Metro,6.44,~9.3 km (est.),Purple Line,,
BTM Layout 2nd Stage,Indiranagar Metro,7.67,~11.1 km (est.),Purple Line,,
BTM Layout 2nd Stage,Whitefield Metro (Kadugodi),17.34,~25.1 km (est.),Purple Line end,,
BTM Layout 2nd Stage,ITPB Tech Park,16.12,~23.4 km (est.),,,
BTM Layout 2nd Stage,Manyata Tech Park,15.03,~21.8 km (est.),,,
BTM Layout 2nd Stage,Bagmane Tech Park,9.41,~13.6 km (est.),,,
BTM Layout 2nd Stage,Embassy TechVillage,8.67,~12.6 km (est.),,,
BTM Layout 2nd Stage,Electronic City,10.88,~15.8 km (est.),,,
BTM Layout 2nd Stage,KIAL Airport,33.09,~48.0 km (est.),,,
BTM Layout 2nd Stage,Majestic Bus Stand,7.89,~11.4 km (est.),,,
BTM Layout 2nd Stage,KSR Railway Station,8.07,~11.7 km (est.),,,
FROM: Electronic City Phase 1,,,,,,
Electronic City Phase 1,Jayanagar 4th Block Metro,13.95,~20.2 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Electronic City Phase 1,Jayadeva Hospital Metro,12.01,~17.4 km (est.),~13m walk from Christ Univ [verified],,
Electronic City Phase 1,BTM Layout Metro,10.88,~15.8 km (est.),1.95km from Christ Univ [verified],,
Electronic City Phase 1,Central Silk Board Metro,9.94,~14.4 km (est.),,,
Electronic City Phase 1,Jayanagar Metro,13.95,~20.2 km (est.),Green Line,,
Electronic City Phase 1,MG Road Metro,16.35,~23.7 km (est.),Purple Line,,
Electronic City Phase 1,Indiranagar Metro,15.43,~22.4 km (est.),Purple Line,,
Electronic City Phase 1,Whitefield Metro (Kadugodi),18.09,~26.2 km (est.),Purple Line end,,
Electronic City Phase 1,ITPB Tech Park,15.88,~23.0 km (est.),,,
Electronic City Phase 1,Manyata Tech Park,23.77,~34.5 km (est.),,,
Electronic City Phase 1,Bagmane Tech Park,15.67,~22.7 km (est.),,,
Electronic City Phase 1,Embassy TechVillage,8.21,~11.9 km (est.),,,
Electronic City Phase 1,Electronic City,0.00,~0.0 km (est.),,,
Electronic City Phase 1,KIAL Airport,39.50,~57.3 km (est.),,,
Electronic City Phase 1,Majestic Bus Stand,18.68,~27.1 km (est.),,,
Electronic City Phase 1,KSR Railway Station,18.90,~27.4 km (est.),,,
FROM: Manyata Tech Park,,,,,,
Manyata Tech Park,Jayanagar 4th Block Metro,14.20,~20.6 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Manyata Tech Park,Jayadeva Hospital Metro,14.41,~20.9 km (est.),~13m walk from Christ Univ [verified],,
Manyata Tech Park,BTM Layout Metro,15.03,~21.8 km (est.),1.95km from Christ Univ [verified],,
Manyata Tech Park,Central Silk Board Metro,15.01,~21.8 km (est.),,,
Manyata Tech Park,Jayanagar Metro,14.20,~20.6 km (est.),Green Line,,
Manyata Tech Park,MG Road Metro,8.69,~12.6 km (est.),Purple Line,,
Manyata Tech Park,Indiranagar Metro,8.34,~12.1 km (est.),Purple Line,,
Manyata Tech Park,Whitefield Metro (Kadugodi),15.46,~22.4 km (est.),Purple Line end,,
Manyata Tech Park,ITPB Tech Park,16.42,~23.8 km (est.),,,
Manyata Tech Park,Manyata Tech Park,0.00,~0.0 km (est.),,,
Manyata Tech Park,Bagmane Tech Park,8.57,~12.4 km (est.),,,
Manyata Tech Park,Embassy TechVillage,16.61,~24.1 km (est.),,,
Manyata Tech Park,Electronic City,23.77,~34.5 km (est.),,,
Manyata Tech Park,KIAL Airport,18.82,~27.3 km (est.),,,
Manyata Tech Park,Majestic Bus Stand,9.86,~14.3 km (est.),,,
Manyata Tech Park,KSR Railway Station,10.14,~14.7 km (est.),,,
FROM: Silk Board Junction,,,,,,
Silk Board Junction,Jayanagar 4th Block Metro,4.58,~6.6 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Silk Board Junction,Jayadeva Hospital Metro,2.42,~3.5 km (est.),~13m walk from Christ Univ [verified],,
Silk Board Junction,BTM Layout Metro,1.42,~2.1 km (est.),1.95km from Christ Univ [verified],,
Silk Board Junction,Central Silk Board Metro,0.00,~0.0 km (est.),,,
Silk Board Junction,Jayanagar Metro,4.58,~6.6 km (est.),Green Line,,
Silk Board Junction,MG Road Metro,6.69,~9.7 km (est.),Purple Line,,
Silk Board Junction,Indiranagar Metro,7.20,~10.4 km (est.),Purple Line,,
Silk Board Junction,Whitefield Metro (Kadugodi),16.12,~23.4 km (est.),Purple Line end,,
Silk Board Junction,ITPB Tech Park,14.83,~21.5 km (est.),,,
Silk Board Junction,Manyata Tech Park,15.01,~21.8 km (est.),,,
Silk Board Junction,Bagmane Tech Park,8.67,~12.6 km (est.),,,
Silk Board Junction,Embassy TechVillage,7.25,~10.5 km (est.),,,
Silk Board Junction,Electronic City,9.94,~14.4 km (est.),,,
Silk Board Junction,KIAL Airport,32.70,~47.4 km (est.),,,
Silk Board Junction,Majestic Bus Stand,8.74,~12.7 km (est.),,,
Silk Board Junction,KSR Railway Station,8.97,~13.0 km (est.),,,
FROM: Indiranagar Metro,,,,,,
Indiranagar Metro,Jayanagar 4th Block Metro,8.34,~12.1 km (est.),4.0km road / 12min drive from Christ Univ [verified],,
Indiranagar Metro,Jayadeva Hospital Metro,7.48,~10.8 km (est.),~13m walk from Christ Univ [verified],,
Indiranagar Metro,BTM Layout Metro,7.67,~11.1 km (est.),1.95km from Christ Univ [verified],,
Indiranagar Metro,Central Silk Board Metro,7.20,~10.4 km (est.),,,
Indiranagar Metro,Jayanagar Metro,8.34,~12.1 km (est.),Green Line,,
Indiranagar Metro,MG Road Metro,3.69,~5.4 km (est.),Purple Line,,
Indiranagar Metro,Indiranagar Metro,0.00,~0.0 km (est.),Purple Line,,
Indiranagar Metro,Whitefield Metro (Kadugodi),11.95,~17.3 km (est.),Purple Line end,,
Indiranagar Metro,ITPB Tech Park,11.67,~16.9 km (est.),,,
Indiranagar Metro,Manyata Tech Park,8.34,~12.1 km (est.),,,
Indiranagar Metro,Bagmane Tech Park,2.33,~3.4 km (est.),,,
Indiranagar Metro,Embassy TechVillage,8.63,~12.5 km (est.),,,
Indiranagar Metro,Electronic City,15.43,~22.4 km (est.),,,
Indiranagar Metro,KIAL Airport,25.50,~37.0 km (est.),,,
Indiranagar Metro,Majestic Bus Stand,7.48,~10.8 km (est.),,,
Indiranagar Metro,KSR Railway Station,7.89,~11.4 km (est.),,,
