"BENGALURU — SUB-LOCALITIES, BLOCKS & SECTORS",,,,,,
88 entries | Koramangala 1-8 Blocks | HSR Sectors 1-7 | Jayanagar 1-9 Blocks | JP Nagar 9 Phases | BTM Stages | Electronic City Phases | Whitefield sub-areas | Banashankari Stages,,,,,,
PIN,Locality,Sub-Area / Block,Lat,Lng,Notes,
560050,Banashankari,3rd Stage,12.9290,77.5640,Bus stand adj,
560050,Banashankari,4th Stage,12.9250,77.5610,Residential,
560050,Banashankari,5th Stage,12.9210,77.5590,Near Kanakapura,
560004,Basavanagudi,Gandhi Bazaar,12.9457,77.5681,Heritage market,
560004,Basavanagudi,Bull Temple Road,12.9480,77.5701,Near Bull Temple,
560045,Nagavara,Manyata Tech Park area,13.0510,77.6215,North Bangalore IT hub,
560045,Nagavara,Hebbal,13.0350,77.5970,ORR / Manyata adj,
560093,CV Raman Nagar,Bagmane Tech Park area,12.9845,77.6614,Central IT hub,
560093,CV Raman Nagar,Kundanahalli,12.9780,77.6650,Adj Marathahalli,
560063,Yelahanka,Old Town,13.1007,77.5963,North Blr,
560063,Yelahanka,New Town,13.1050,77.5963,Residential,
560063,Yelahanka,Sahakar Nagar,13.0550,77.5850,Towards Hebbal,
560029,Lakkasandra,Christ University,12.9344,77.6050,Hosur Rd campus,
560029,Lakkasandra,Dairy Circle,12.9319,77.6026,Key junction,
560029,Lakkasandra,Adugodi Police Station,12.9400,77.6100,Landmark,
